ID,Date,Description,Amount
263,2013-06-20,hac habitasse platea,15343.55
264,2015-01-07,commodo placerat praesent,14782.52
265,2012-04-07,velit id pretium,9118.23
266,2012-08-08,vestibulum ante ipsum,8326.12
267,2014-09-18,suspendisse potenti cras,4604.03
268,2012-08-13,elementum in hac,17632.16
269,2014-10-12,in libero ut,3471.08
270,2012-04-04,eu felis fusce,12272.5
271,2014-06-03,turpis a pede,1753.32
272,2012-08-26,mi in porttitor,15244.97
273,2013-12-23,suscipit nulla elit,4586.1
274,2015-01-13,id turpis integer,16292.16
275,2013-11-28,id mauris vulputate,15458.97
276,2014-11-18,massa quis augue,9740.97
277,2013-03-13,hac habitasse platea,1932.27
278,2012-07-21,odio justo sollicitudin,2599.99
279,2013-12-02,in imperdiet et,13936.67
280,2014-09-03,non mi integer,11703.65
281,2013-08-15,elit ac nulla,1634.42
282,2012-08-24,augue a suscipit,9954.88
283,2012-05-19,curae duis faucibus,7349.21
284,2014-11-26,viverra pede ac,10815.09
285,2013-06-09,accumsan tellus nisi,11040.49
286,2013-02-06,luctus et ultrices,12802.1
287,2012-08-30,nulla ultrices aliquet,7059.04
288,2012-04-15,dui proin leo,4534.5
289,2013-07-08,convallis nulla neque,1733.88
290,2013-05-07,in sagittis dui,6681.86
291,2014-05-25,volutpat in congue,6196.74
292,2012-12-07,ultrices posuere cubilia,18657.07
293,2012-04-19,vivamus metus arcu,6519.23
294,2013-09-05,in faucibus orci,16988.1
295,2012-06-25,nulla elit ac,10416.38
296,2013-12-17,auctor gravida sem,14213.99
297,2013-11-11,aliquet massa id,9122.0
298,2013-01-18,etiam vel augue,19520.46
299,2013-04-09,curae duis faucibus,19422.79
300,2013-02-17,rutrum neque aenean,16616.05
301,2013-08-14,pretium nisl ut,1927.74
302,2013-07-28,donec ut dolor,10115.57
303,2014-08-22,quis turpis sed,2462.38
304,2013-09-14,ac lobortis vel,16628.6
305,2013-07-25,tortor eu pede,3171.55
306,2014-01-22,eget tempus vel,15085.33
307,2013-06-12,lorem id ligula,18735.19
308,2012-07-19,sagittis sapien cum,6153.07
309,2012-08-19,nulla justo aliquam,10463.35
310,2013-10-20,donec ut mauris,18563.37
311,2013-07-10,sapien urna pretium,4844.32
312,2014-05-15,bibendum morbi non,19273.25
313,2013-03-28,duis mattis egestas,12186.91
314,2012-09-03,lobortis ligula sit,13979.97
315,2014-10-18,nonummy maecenas tincidunt,19156.61
316,2014-05-20,vestibulum proin eu,813.26
317,2014-12-31,faucibus orci luctus,19870.98
318,2012-12-12,integer non velit,13213.17
319,2012-05-19,mauris vulputate elementum,4494.73
320,2013-01-08,accumsan odio curabitur,12051.58
321,2012-02-08,purus eu magna,2115.93
322,2013-02-13,pede justo lacinia,7817.08
323,2013-12-04,diam neque vestibulum,19433.16
324,2012-09-11,vitae consectetuer eget,18546.56
325,2014-07-10,erat nulla tempus,19823.64
326,2013-05-22,pretium iaculis justo,13650.88
327,2014-09-02,semper porta volutpat,8661.14
328,2014-11-02,non mauris morbi,11475.89
329,2013-03-13,massa donec dapibus,17984.75
330,2013-11-21,quis turpis sed,3317.77
331,2013-11-20,maecenas tristique est,11523.88
332,2014-06-17,varius integer ac,17090.78
333,2014-08-26,ut rhoncus aliquet,15903.73
334,2013-06-13,erat fermentum justo,14319.27
335,2012-03-26,elementum eu interdum,3596.18
336,2014-03-16,maecenas tristique est,3261.42
337,2013-01-28,risus auctor sed,10605.31
338,2013-07-09,platea dictumst etiam,7900.23
339,2014-04-20,duis ac nibh,11301.48
340,2013-01-29,nulla ut erat,13244.67
341,2012-08-26,lacus morbi quis,17937.95
342,2012-08-26,phasellus in felis,9208.42
343,2014-12-26,faucibus orci luctus,4695.21
344,2012-11-24,vivamus tortor duis,6358.35
345,2014-08-12,vestibulum velit id,4266.65
346,2013-06-28,lobortis convallis tortor,18096.69
347,2012-07-24,libero ut massa,6444.51
348,2012-09-08,vivamus metus arcu,7876.06
349,2015-01-08,erat eros viverra,19809.82
350,2013-03-05,diam vitae quam,16801.65
351,2012-07-23,purus phasellus in,5021.17
352,2012-06-26,molestie nibh in,2620.54
353,2013-01-29,ipsum ac tellus,13210.05
354,2014-08-15,odio curabitur convallis,7584.37
355,2013-05-31,ut blandit non,3455.31
356,2014-10-06,ultrices erat tortor,2870.43
357,2014-07-31,nulla facilisi cras,14157.08
358,2014-01-01,nec molestie sed,13290.79
359,2012-12-03,magna ac consequat,17506.27
360,2012-12-08,leo odio condimentum,19539.73
361,2014-11-18,fusce posuere felis,4198.39
362,2014-05-24,primis in faucibus,19075.98
363,2014-11-04,semper est quam,7996.56
