ID,Date,Description,Amount
520,2013-03-10,sed accumsan felis,11088.6
521,2012-04-16,pellentesque viverra pede,13754.23
522,2013-06-18,pulvinar nulla pede,3908.3
523,2012-02-04,ut at dolor,11021.09
524,2012-08-22,blandit non interdum,16229.78
525,2013-11-28,sed interdum venenatis,14677.06
526,2014-01-11,mauris ullamcorper purus,8529.13
527,2013-02-21,justo etiam pretium,7707.32
528,2013-03-11,odio curabitur convallis,15049.81
529,2012-09-03,metus arcu adipiscing,15954.16
530,2013-05-13,risus semper porta,2700.67
531,2014-10-05,quis turpis sed,5130.93
532,2012-07-23,sem praesent id,15695.03
533,2012-06-10,aliquet massa id,8542.66
534,2012-03-25,convallis duis consequat,11550.72
535,2012-08-16,ultrices vel augue,6013.7
536,2014-12-25,orci pede venenatis,10095.1
537,2013-07-26,rhoncus dui vel,3747.75
538,2013-02-24,in congue etiam,15669.1
539,2013-11-06,ac consequat metus,11153.61
540,2012-11-10,mauris morbi non,11136.49
541,2014-03-02,sed sagittis nam,9024.73
542,2014-06-05,ipsum dolor sit,12179.75
543,2012-05-12,id pretium iaculis,18106.02
544,2012-08-18,tellus in sagittis,8746.02
545,2012-10-23,molestie lorem quisque,11349.69
546,2014-03-20,est donec odio,9618.77
547,2014-02-14,in congue etiam,15917.7
548,2014-08-10,nulla elit ac,18866.03
549,2012-08-03,eget orci vehicula,14012.82
550,2012-09-13,diam nam tristique,11881.18
551,2012-08-27,maecenas tincidunt lacus,5327.73
552,2014-11-14,sed ante vivamus,6584.38
553,2012-06-25,diam vitae quam,2543.04
554,2012-09-14,aenean fermentum donec,13969.05
555,2012-10-24,nulla integer pede,7584.42
556,2014-12-13,at lorem integer,15126.65
557,2013-12-09,cras in purus,7290.0
558,2012-10-03,posuere cubilia curae,1465.34
559,2014-07-12,duis at velit,6430.17
560,2014-02-05,nulla tempus vivamus,13188.61
561,2014-12-30,a ipsum integer,10686.57
562,2013-08-20,odio odio elementum,14316.14
563,2014-05-11,magna ac consequat,8875.26
